City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,katsuura,35.1333,140.3,4.4,45,6,2.36,JP,1674696270
1,bluff,-46.6,168.3333,19.47,57,21,1.87,NZ,1674696270
2,vaini,-21.2,-175.2,29.09,89,40,4.12,TO,1674696270
3,mataura,-46.1927,168.8643,26.31,29,87,2.01,NZ,1674696271
4,tucumcari,35.1717,-103.725,-1.09,64,100,2.06,US,1674696271
5,busselton,-33.65,115.3333,22.24,49,0,3.0,AU,1674696272
6,yellowknife,62.456,-114.3525,-15.71,85,75,4.63,CA,1674696043
7,laurel,39.0993,-76.8483,11.7,96,100,1.54,US,1674696272
8,tazovskiy,67.4667,78.7,-12.78,95,100,4.23,RU,1674696272
9,torva,58.0028,25.935,1.17,94,100,4.85,EE,1674696273
10,coolum beach,-26.5333,153.1,32.97,73,40,2.9,AU,1674696273
11,new norfolk,-42.7826,147.0587,18.72,39,100,3.91,AU,1674696273
12,kodiak,57.79,-152.4072,5.73,65,0,4.12,US,1674696274
13,tifton,31.4505,-83.5085,14.19,97,100,5.1,US,1674696274
14,nanortalik,60.1432,-45.2371,0.82,99,100,5.07,GL,1674696274
15,thompson,55.7435,-97.8558,-20.91,77,75,2.06,CA,1674696275
16,kruisfontein,-34.0033,24.7314,14.38,89,0,1.59,ZA,1674696275
17,foshan,23.0268,113.1315,12.75,40,99,3.12,CN,1674696276
18,albany,42.6001,-73.9662,2.25,89,100,4.57,US,1674696276
19,upernavik,72.7868,-56.1549,-15.36,94,100,4.94,GL,1674696276
20,wanning,18.8003,110.3967,18.73,80,9,2.01,CN,1674696277
21,manjacaze,-24.7117,33.8828,22.87,83,0,3.48,MZ,1674696277
22,necochea,-38.5473,-58.7368,17.23,55,3,6.52,AR,1674696278
23,rikitea,-23.1203,-134.9692,26.39,76,100,6.57,PF,1674696278
24,thinadhoo,0.5333,72.9333,26.9,75,22,3.25,MV,1674696278
25,olinda,-8.0089,-34.8553,26.85,69,75,3.09,BR,1674696279
26,raga,8.4596,25.678,22.79,30,98,2.0,SS,1674696279
27,atuona,-9.8,-139.0333,25.87,75,80,6.77,PF,1674696279
28,clyde river,70.4692,-68.5914,-24.87,77,100,4.63,CA,1674696280
29,liverpool,53.4106,-2.9779,6.35,92,7,5.14,GB,1674696162
30,pitimbu,-7.4706,-34.8086,26.33,73,1,4.81,BR,1674696280
31,sawtell,-30.3833,153.1,32.88,65,0,5.14,AU,1674696280
32,makakilo city,21.3469,-158.0858,26.18,58,0,4.12,US,1674696281
33,chuy,-33.6971,-53.4616,22.48,77,100,4.2,UY,1674696281
34,denpasar,-8.65,115.2167,26.81,94,75,4.12,ID,1674696133
35,simoes,-7.5989,-40.8178,23.9,60,17,2.59,BR,1674696282
36,camacha,33.0833,-16.3333,13.68,51,40,6.17,PT,1674696282
37,jamestown,42.097,-79.2353,2.77,75,100,3.09,US,1674696255
38,port alfred,-33.5906,26.891,18.99,91,1,0.89,ZA,1674695685
39,faanui,-16.4833,-151.75,27.61,77,80,7.8,PF,1674696283
40,ballina,-28.8667,153.5667,31.12,70,47,3.22,AU,1674696283
